BS39,C,00,13,14,15,11,01,2.83,0.00,0.00,0.00,0.00
HR82,C,00,21,07,37,58,07,5.16,0.00,0.00,0.00,0.00
V0381 CAS,V,00,32,52,49,19,39,10.50,0.00,0.00,0.00,0.00
HR164,C,00,39,10,49,21,16,5.43,0.00,0.00,0.00,0.00
BS165,C,00,39,20,30,51,40,3.27,0.00,0.00,0.00,0.00
BS215,C,00,47,20,24,16,02,4.08,0.00,0.00,0.00,0.00
BS290,C,01,02,54,41,20,43,5.98,0.16,0.00,0.00,0.00
RX AND,V,01,04,36,41,17,58,0.00,0.00,0.00,0.00,0.00
RZ PSC,V,01,09,42,27,57,02,11.20,0.00,0.00,0.00,0.00
RT PSC,V,01,13,48,27,07,59,8.50,0.00,0.00,0.00,0.00
HR367,C,01,14,42,06,59,41,6.04,0.00,0.00,0.00,0.00
Z PSC,V,01,16,05,25,46,10,6.70,0.00,0.00,0.00,0.00
HD7615,C,01,16,28,23,35,24,6.69,0.05,0.00,0.06,0.00
UV PSC,V,01,16,55,06,48,42,9.00,0.00,0.00,0.00,0.00
BS458,C,01,36,48,41,24,15,4.10,0.54,0.00,0.00,0.00
BS477,C,01,40,35,40,34,38,4.94,-0.09,0.00,0.00,0.00
BS483,C,01,41,47,42,36,46,4.96,0.62,0.00,0.00,0.00
BD+20 307,V,01,54,50,21,18,22,9.00,0.00,0.00,0.00,0.00
HR577,C,01,59,36,21,03,31,5.89,1.03,0.00,0.00,0.00
BX AND,V,02,09,03,40,47,39,9.00,0.00,0.00,0.00,0.00
HD13564,C,02,13,29,40,47,25,7.37,0.00,0.00,0.00,0.00
T ARI,V,02,48,20,17,30,40,9.00,0.00,0.00,0.00,0.00
BS838,C,02,49,59,27,15,38,3.60,0.00,0.00,0.00,0.00
RZ ARI,V,02,55,48,18,20,02,5.80,0.00,0.00,0.00,0.00
HD19787,C,03,11,38,19,43,36,4.37,1.03,0.00,0.53,0.00
V396 PER,V,03,32,09,48,01,25,5.47,0.00,0.00,0.00,0.00
KP PER,V,03,32,39,44,51,21,6.42,0.00,0.00,0.00,0.00
DEL PER,C,03,42,55,47,47,15,3.01,0.00,0.00,0.00,0.00
HR1130,C,03,44,41,46,05,59,6.10,0.29,0.00,0.00,0.00
HD23441,C,03,46,03,24,31,42,6.45,-0.02,0.00,0.01,0.00
HD 23514,V,03,46,39,22,55,08,9.40,0.00,0.00,0.00,0.00
000-BKY-172T,V,03,47,23,22,55,20,8.16,0.26,0.00,0.00,0.00
000-BKY-172,C,03,47,23,22,55,20,8.16,0.26,0.00,0.00,0.00
V376 PER,V,03,49,08,43,57,47,5.97,0.00,0.00,0.00,0.00
BS1185,C,03,49,57,22,14,18,6.07,-0.01,0.00,0.00,0.00
IQ PER,V,03,59,45,48,09,05,7.73,0.00,0.00,0.00,0.00
BS1261,V,04,06,33,50,21,17,4.27,-0.01,0.00,0.00,0.00
B PER,V,04,18,15,50,17,44,4.60,0.00,0.00,0.00,0.00
BS1409,C,04,28,37,19,10,50,3.53,1.01,0.00,0.00,0.00
EPS AUR,V,05,01,58,43,49,20,3.00,0.00,0.00,0.00,0.00
W ORI,V,05,05,24,01,10,40,6.10,3.33,0.00,0.00,0.00
HD34317,C,05,16,41,01,56,48,6.42,-0.02,0.00,0.02,0.00
LAM AUR,C,05,19,09,40,05,53,4.71,0.62,0.00,0.00,0.00
CK ORI,V,05,30,20,04,12,18,6.21,0.00,0.00,0.00,0.00
BS1910,C,05,37,39,21,08,33,2.97,0.00,0.00,0.00,0.00
V725 TAU,V,05,38,55,26,18,57,9.40,0.00,0.00,0.00,0.00
HD37352,C,05,39,18,30,09,28,7.71,0.12,0.00,0.12,0.00
V781 TAU,V,05,50,13,26,57,43,8.80,0.00,0.00,0.00,0.00
HR2013,C,05,50,58,27,58,04,5.60,0.00,0.00,0.00,0.00
MR MON,V,06,47,19,01,31,50,8.70,0.00,0.00,0.00,0.00
V448 MON,V,06,47,45,01,22,18,9.50,0.00,0.00,0.00,0.00
HD49294,C,06,47,48,00,20,25,7.00,0.00,0.00,0.00,0.00
PZ MON,V,06,48,21,01,13,04,9.00,0.00,0.00,0.00,0.00
SX MON,V,06,51,57,04,45,53,7.66,0.00,0.00,0.00,0.00
HD50167,C,06,52,04,01,15,06,7.86,1.54,0.00,0.83,0.00
RV MON,V,06,58,22,06,10,02,7.33,0.00,0.00,0.00,0.00
HR2775,C,07,21,02,42,39,29,6.33,0.00,0.00,0.00,0.00
CC LYN,V,07,35,56,43,01,51,6.40,0.00,0.00,0.00,0.00
HD61151,C,07,37,49,-02,35,49,7.84,0.00,0.00,0.00,0.00
V868 MON,V,07,39,05,-02,39,06,9.00,0.00,0.00,0.00,0.00
BS2985,C,07,44,27,24,23,53,3.57,0.92,0.00,0.00,0.00
BS3167,C,08,07,10,43,15,38,6.35,-0.02,0.00,0.00,0.00
SZ LYN,V,08,09,36,44,28,18,9.40,0.00,0.00,0.00,0.00
BS3449,C,08,43,17,21,28,06,4.65,0.00,0.00,0.00,0.00
FX CNC,V,08,48,40,12,32,49,6.66,0.00,0.00,0.00,0.00
HD75700,C,08,51,49,11,53,42,7.85,1.12,0.00,0.57,0.00
X CNC,V,08,55,23,17,13,53,6.20,0.00,0.00,0.00,0.00
T CNC,V,08,56,40,19,50,57,8.10,0.00,0.00,0.00,0.00
RT CNC,V,08,58,16,10,50,43,7.66,0.00,0.00,0.00,0.00
HD83564,C,09,41,17,55,52,00,6.50,0.00,0.00,0.00,0.00
W UMA,V,09,43,45,55,57,09,8.00,0.00,0.00,0.00,0.00
XY LEO,V,10,01,40,17,24,32,9.63,0.00,0.00,0.00,0.00
HR3969,C,10,05,41,15,45,27,6.36,0.00,0.00,0.00,0.00
RR LEO,V,10,07,43,23,59,30,0.00,0.00,0.00,0.00,0.00
BS4031,C,10,16,41,23,25,02,3.42,0.00,0.00,0.00,0.00
BS4039,C,10,17,14,23,06,21,5.82,0.50,0.00,0.00,0.00
BS4054,C,10,19,44,19,28,12,4.80,0.45,0.00,0.00,0.00
BS4166,C,10,38,43,31,58,36,4.71,0.81,0.00,0.00,0.00
RX LMI,V,10,42,13,31,42,04,6.00,0.00,0.00,0.00,0.00
EX LEO,V,10,45,07,16,20,16,8.24,0.00,0.00,0.00,0.00
HR4209,C,10,46,25,14,11,41,5.49,0.89,0.00,0.00,0.00
HD93328,C,10,46,42,16,32,34,7.59,0.00,0.00,0.00,0.00
VW LMI,V,11,02,53,30,24,57,  9.00, 0.00, 0.00, 0.00, 0.00
HD96198,C,11,05,50,29,59,54,  7.60, 0.00, 0.00, 0.00, 0.00
BS4359,C,11,14,14,15,25,46,3.31,0.00,0.00,0.00,0.00
FS LEO,V,11,27,58,14,49,55,9.00,0.00,0.00,0.00,0.00
HR4426,C,11,29,42,15,24,48,5.74,0.00,0.00,0.00,0.00
AW UMA,V,11,30,04,29,57,53,6.90,0.00,0.00,0.00,0.00
HS UMA,V,11,35,31,34,52,04,8.50,0.00,0.00,0.00,0.00
HR4465,C,11,36,18,27,46,53,5.80,0.00,0.00,0.00,0.00
TV UMA,V,11,45,35,35,53,40,7.00,0.00,0.00,0.00,0.00
HR4536,C,11,49,42,34,55,54,5.73,0.46,0.00,0.39,0.00
HR4562,V,11,55,14,36,45,23,6.47,0.00,0.00,0.00,0.00
HX UMA,V,12,01,33,43,02,30,9.00,0.00,0.00,0.00,0.00
HR4594,C,12,02,07,43,02,44,5.21,0.00,0.00,0.00,0.00
AI CVN,V,12,23,47,42,32,34,6.03,0.00,0.00,0.00,0.00
BK VIR,V,12,30,21,04,24,59,7.30,0.00,0.00,0.00,0.00
II UMA,V,12,32,55,54,47,43,8.20,0.00,0.00,0.00,0.00
HD109894,C,12,37,57,54,51,11,6.89,0.00,0.00,0.00,0.00
R VIR,V,12,38,30,06,59,19,6.10,0.00,0.00,0.00,0.00
HR4843,C,12,44,27,44,06,11,6.33,0.43,0.00,0.00,0.00
BS4845,C,12,44,59,39,16,46,5.94,0.56,0.00,0.34,0.00
Y CVN,V,12,45,08,45,26,25,5.60,0.00,0.00,0.00,0.00
HD111165,C,12,47,15,07,00,30,8.46,1.17,0.00,0.57,0.00
TU CVN,V,12,54,56,47,12,10,5.86,0.00,0.00,0.00,0.00
RT VIR,V,13,02,38,05,11,08,7.40,0.00,0.00,0.00,0.00
BS4968,C,13,09,59,17,31,45,4.32,0.00,0.00,0.00,0.00
RS CVN,V,13,10,37,35,56,6,8.07,0.00,0.00,0.00,0.00
BS5110,C,13,34,48,37,10,57,4.98,0.40,0.00,0.00,0.00
BO CVN,V,13,59,08,40,49,09,9.60,0.00,0.00,0.00,0.00
HD122574,C,14,01,49,40,25,12,6.81,0.00,0.00,0.00,0.00
BS5429,C,14,31,49,30,22,13,3.60,0.00,0.00,0.00,0.00
HR5447,C,14,34,40,29,44,45,4.47,0.37,0.00,0.23,0.00
RV BOO,V,14,39,16,32,32,26,8.20,0.00,0.00,0.00,0.00
RW BOO,V,14,41,00,31,34,18,8.00,0.00,0.00,0.00,0.00
I BOO,V,15,03,48,47,39,14,4.83,0.00,0.00,0.00,0.00
HR5627,C,15,05,26,48,09,03,5.59,0.00,0.00,0.00,0.00
BS5830,C,15,38,16,46,47,50,5.75,0.36,0.00,0.00,0.00
BS5849,C,15,42,44,26,17,44,3.81,0.00,0.00,0.00,0.00
R CRB,V,15,48,34,28,09,24,5.90,0.00,0.00,0.00,0.00
YY CRB,V,15,50,32,37,50,08,8.70,0.00,0.00,0.00,0.00
ST HER,V,15,50,47,48,28,59,7.75,0.00,0.00,0.00,0.00
HR5936,C,15,55,48,37,56,48,5.45,0.00,0.00,0.00,0.00
T CRB,V,15,59,32,25,54,44,10.00,0.00,0.00,0.00,0.00
HR5972,C,16,02,18,22,47,53,4.83,0.07,0.00,0.05,0.00
X HER,V,16,02,39,47,14,26,6.52,0.00,0.00,0.00,0.00
BS5982,V,16,02,48,46,02,11,4.76,-0.11,0.00,0.00,0.00
SX HER,V,16,07,27,24,54,30,8.30,0.00,0.00,0.00,0.00
G HER,V,16,28,39,41,52,54,4.80,0.00,0.00,0.00,0.00
BS6168,C,16,34,06,42,26,14,4.20,-0.01,0.00,0.00,0.00
V636 HER,V,16,47,20,42,14,20,5.92,0.00,0.00,0.00,0.00
V0921 HER,V,16,49,31,47,06,29,9.50,0.00,0.00,0.00,0.00
HR6286,C,16,53,18,47,24,59,6.00,0.00,0.00,0.00,0.00
TT HER,V,16,54,23,16,59,13,10.00,0.00,0.00,0.00,0.00
HR6293,C,16,55,22,18,26,00,5.35,1.41,0.00,0.00,0.00
BS6324,C,17,00,17,30,55,35,3.92,0.00,0.00,0.00,0.00
AK HER,V,17,13,58,16,21,01,8.50,0.00,0.00,0.00,0.00
BS6410,C,17,15,02,24,50,19,3.13,0.08,0.08,0.00,0.00
HR6432,C,17,18,05,17,19,04,6.00,0.00,0.00,0.00,0.00
HR6770,C,18,07,18,08,44,02,4.63,0.97,0.00,0.49,0.00
V0839 OPH,V,18,09,21,09,09,04,9.00,0.00,0.00,0.00,0.00
V985 HER,V,18,11,25,20,57,09,9.30,0.00,0.00,0.00,0.00
HR6883,C,18,22,35,12,01,47,6.00,0.00,0.00,0.00,0.00
HD169414,C,18,23,42,21,46,13,3.84,1.18,0.00,0.60,0.00
BS6895,C,18,23,42,21,46,08,3.84,1.18,0.00,0.00,0.00
AC HER,V,18,30,16,21,52,01,7.60,0.00,0.00,0.00,0.00
RX HER,V,18,30,39,12,36,40,7.50,0.00,0.00,0.00,0.00
XY LYR,V,18,38,06,39,40,06,6.02,0.00,0.00,0.00,0.00
HK LYR,V,18,42,50,36,57,31,7.50,0.00,0.00,0.00,0.00
BS7138,V,18,54,14,41,13,33,7.32,0.00,0.00,0.00,0.00
BS7146T,V,18,54,52,41,36,10,5.46,1.03,0.00,0.00,0.00
BS7146,C,18,54,52,41,36,10,5.46,1.03,0.00,0.53,0.00
R LYR,V,18,55,20,43,56,47,4.08,0.00,0.00,0.00,0.00
HD175884,C,18,55,36,42,03,32,6.55,1.30,0.00,0.00,0.00
BS7176,C,18,59,37,15,04,06,4.02,0.00,0.00,0.00,0.00
V0398 LYR,V,19,08,13,39,09,18,7.30,0.00,0.00,0.00,0.00
HD180809,C,19,16,22,38,08,01,4.37,1.25,0.00,0.62,0.00
RR LYR,V,19,25,28,42,47,05,7.97,0.00,0.00,0.00,0.00
V2083 CYG,V,19,31,16,47,28,52,7.00,0.00,0.00,0.00,0.00
HR7453,C,19,34,40,48,09,53,6.78,0.00,0.00,0.00,0.00
BS7471,C,19,38,49,03,22,54,6.36,0.00,0.00,0.00,0.00
SIG AQL,V,19,39,12,05,23,52,5.18,0.00,0.00,0.00,0.00
HR7487,C,19,39,35,45,57,27,6.25,0.00,0.00,0.00,0.00
BR CYG,V,19,40,55,46,47,06,9.80,0.00,0.00,0.00,0.00
BS7635,C,19,58,45,19,29,32,3.47,1.57,0.00,0.00,0.00
HR7700,C,20,08,38,10,43,33,6.31,0.00,0.00,0.00,0.00
V0346 AQL,V,20,10,00,10,21,02,9.50,0.00,0.00,0.00,0.00
HR7718,C,20,11,48,26,48,32,5.49,0.00,0.00,0.00,0.00
DR VUL,V,20,13,47,26,45,02,9.00,0.00,0.00,0.00,0.00
BS7746,C,20,16,20,21,35,56,6.12,1.04,0.92,0.00,0.00
P CYG,V,20,17,47,38,01,59,4.77,0.00,0.00,0.00,0.00
HR7769,C,20,18,29,36,59,59,5.58,0.06,0.00,0.00,0.00
BS7770,C,20,18,39,34,58,58,5.17,0.65,0.00,0.00,0.00
V382 CYG,V,20,18,47,36,20,26,9.00,0.00,0.00,0.00,0.00
HR7782,V,20,19,48,37,07,57,6.60,0.00,0.00,0.00,0.00
V1687 CYG,V,20,20,28,43,51,16,6.90,0.00,0.00,0.00,0.00
NOVA DEL,V,20,23,31,20,46,41,6.00,0.00,0.00,0.00,0.00
V2119 CYG,V,20,23,46,37,29,25,5.86,0.00,0.00,0.00,0.00
SZ CYG,V,20,32,54,46,36,05,9.84,0.00,0.00,0.00,0.00
MX DEL,V,20,36,23,20,35,58,9.00,0.00,0.00,0.00,0.00
GO CYG,V,20,37,20,35,26,10,8.50,0.00,0.00,0.00,0.00
EU DEL,V,20,37,55,18,16,8,6.22,0.00,0.00,0.00,0.00
BS7891,C,20,38,31,21,12,04,4.80,0.00,0.00,0.00,0.00
HR7891,C,20,38,31,21,12,04,4.82,0.00,0.00,0.00,0.00
HR7899,C,20,39,5,15,50,18,5.97,-0.14,0.00,0.00,0.00
DM DEL,V,20,39,37,14,25,43,8.60,0.00,0.00,0.00,0.00
2036+14,V,20,41,16,14,34,58,6.01,0.00,0.00,0.00,0.00
HD197209,C,20,41,54,14,18,38,8.12,0.10,0.00,0.00,0.00
X CYG,V,20,43,24,35,35,16,6.91,0.00,0.00,0.00,0.00
MZ DEL,V,20,45,20,07,02,20,8.33,0.00,0.00,0.00,0.00
U DEL,V,20,45,28,18,05,24,6.74,0.00,0.00,0.00,0.00
HR7974,C,20,49,48,07,51,51,6.33,0.02,0.00,0.00,0.00
HR7981,C,20,50,37,18,03,04,6.64,0.00,0.00,0.00,0.00
HD199629,C,20,57,10,41,10,02,3.94,0.02,0.00,0.02,0.00
LS DEL,V,20,57,10,19,39,01,8.70,0.00,0.00,0.00,0.00
HD199986,C,20,58,55,46,15,09,7.05,0.00,0.00,0.00,0.00
TX CYG,V,21,00,06,42,35,51,10.02,0.00,0.00,0.00,0.00
V1898 CYG,V,21,03,54,46,19,50,7.80,0.00,0.00,0.00,0.00
HD202711,C,21,16,40,36,19,16,7.37,0.00,0.00,0.00,0.00
V2150 CYG,V,21,18,11,30,35,22,8.00,0.00,0.00,0.00,0.00
HR8169,C,21,21,22,32,36,46,6.04,0.00,0.00,0.00,0.00
V0836 CYG,V,21,21,24,35,44,11,9.00,0.00,0.00,0.00,0.00
BS8173,C,21,22,05,19,48,17,4.09,1.11,1.05,0.00,0.00
HR8182,C,21,22,42,30,18,36,6.05,0.00,0.00,0.00,0.00
V1073 CYG,V,21,25,00,33,41,10,8.00,0.00,0.00,0.00,0.00
KP PEG,V,21,26,41,13,41,18,7.12,0.00,0.00,0.00,0.00
BS8313,C,21,44,31,17,21,00,4.31,1.18,0.00,0.00,0.00
KY PEG,V,21,49,48,12,42,21,9.50,0.00,0.00,0.00,0.00
AG PEG,V,21,51,02,12,37,32,7.00,0.00,0.00,0.00,0.00
BS8373,C,21,56,56,12,04,52,5.54,0.05,0.00,0.00,0.00
BS8430,C,22,07,01,25,20,42,3.77,0.00,0.00,0.00,0.00
AR LAC,V,22,08,41,45,44,32,6.20,0.00,0.00,0.00,0.00
HD210702,C,22,11,51,16,02,24,5.95,0.95,0.00,0.51,0.00
HR8487,C,22,13,49,45,26,26,5.53,0.00,0.00,0.00,0.00
BS8579,C,22,30,29,43,07,24,4.51,-0.09,-0.74,0.00,0.00
BS8667,C,22,46,32,23,33,56,3.95,0.00,0.00,0.00,0.00
BS8684,C,22,50,0,24,36,6,3.51,0.00,0.00,0.00,0.00
AF PEG,V,22,51,23,18,07,08,9.50,0.00,0.00,0.00,0.00
SW LAC,V,22,53,42,37,56,19,8.90,0.00,0.00,0.00,0.00
GO PEG,V,22,55,01,19,33,35,9.00,0.00,0.00,0.00,0.00
BS8718,C,22,55,03,37,04,38,5.91,0.00,0.00,0.00,0.00
HD217014,C,22,57,29,20,46,10,5.46,0.67,0.00,0.37,0.00
HD218155,C,23,05,33,14,57,33,6.78,0.00,0.00,-0.01,0.00
DY PEG,V,23,08,51,17,12,56,10.27,0.00,0.00,0.00,0.00
HD222603,C,23,42,01,01,47,16,4.51,0.21,0.00,0.11,0.00
V0357 PEG,V,23,45,35,25,28,19,9.00,0.00,0.00,0.00,0.00
TX PSC,V,23,46,24,03,29,13,4.96,0.00,0.00,0.00,0.00
HD223211,C,23,47,29,25,34,46,6.78,0.00,0.00,0.00,0.00
XZ PSC,V,23,54,47,00,06,34,5.83,0.00,0.00,0.00,0.00
HD224371,C,23,57,14,15,36,28,7.44,1.36,0.00,0.00,0.00
BS9064,C,23,57,45,25,08,29,4.65,0.00,0.00,0.00,0.00
U PEG,V,23,57,58,15,57,10,9.20,0.00,0.00,0.00,0.00
