Star	R.A. (2000.0)	Decl (2000.0)	V	B-V	U-B
HD 34968	5.3408	-21.2398	4.70	-0.05	-0.11
HD 32309	5.0238	-20.0519	4.91	-0.05	-0.15
ksi2 Cma	6.5843	-22.9648	4.54	-0.04	-0.02
the Lep	6.1026	-14.9353	4.67	0.05	0.00
HD 39421	5.8688	-9.0367	5.95	0.10	0.08
49 Ori	5.6481	-7.2128	4.81	0.14	0.09
HD 42536	6.1837	-6.7542	6.14	0.01	0.03
HD 45830	6.4458	-7.5119	6.26	-0.03	-0.10
HD 39927	5.9265	-4.7886	6.20	0.05	0.06
HD 16754	2.6633	-42.8918	4.74	0.06	0.06
HD 36058	5.4825	-3.3074	6.38	-0.01	-0.06
HD 44756	6.3897	-4.6605	6.66	0.06	0.00
HD 25910	4.0990	-8.8561	6.26	0.06	0.08
HD 73634	8.6274	-42.9891	4.14	0.10	0.12
HD 42824	6.2124	-2.5048	6.62	0.04	0.08
HD 31739	4.9697	-2.2127	6.34	0.09	0.11
HD 30321	4.7734	-2.9544	6.33	0.04	0.06
HD 74272	8.6870	-47.3171	4.77	0.12	0.12
xsi Eri	4.3947	-3.7455	5.18	0.07	0.08
HD 65810	7.9978	-18.3992	4.61	0.07	0.08
60 Ori	5.9804	0.5530	5.21	0.00	0.01
zet Hyi	2.7591	-66.3834	4.83	0.05	0.08
HD 34317	5.2781	1.9473	6.42	-0.02	0.02
eps Hyi	2.6998	-68.2669	4.11	-0.06	-0.13
HD 42111	6.1494	2.4997	5.73	0.06	0.04
38 Ori	5.5713	3.7668	5.35	0.04	0.06
del Hyi	2.3625	-68.6594	4.08	0.03	0.05
phi Phe	1.9061	-42.4969	5.11	-0.05	-0.14
alf Vol	9.0408	-66.3961	4.00	0.15	0.14
del Mon	7.1977	-0.4928	4.15	0.00	0.03
del Pyx	8.9254	-27.6818	4.88	0.12	0.15
HD 35656	5.4412	6.8687	6.42	-0.02	-0.05
HD 53205	7.0723	1.4885	6.56	0.01	-0.07
HD 50062	6.8609	3.0420	6.38	0.04	0.09
HD 28978	4.5900	5.5686	5.68	0.05	0.10
HD 52479	7.0282	4.8181	6.63	0.06	0.09
14 Mon	6.5795	7.5724	6.44	-0.01	-0.03
pi2 Ori	4.8435	8.9000	4.35	0.01	0.03
rho Cet	2.5325	-12.2905	4.89	-0.02	-0.04
pi1 Ori	4.9149	10.1508	4.66	0.08	0.08
HD 55111	7.1976	5.6547	6.08	-0.02	-0.05
HD 50931	6.9263	8.3243	6.28	0.04	0.06
HD 18543	2.9784	-2.7828	5.23	0.00	0.04
eta Phe	0.8892	-57.4631	4.36	0.00	-0.03
HD 18331	2.9437	-2.3123	5.16	0.08	0.06
HD 91375	10.5056	-71.9928	4.73	0.03	0.07
HD 73997	8.6838	-9.0520	6.62	-0.02	0.02
HD 13936	2.2579	-9.4665	6.54	-0.01	-0.07
HD 72660	8.5671	-2.1516	5.80	0.00	0.00
HD 65900	8.0205	4.8667	5.64	0.08	0.01
lam1 Phe	0.5236	-48.8035	4.77	0.01	0.04
HD 14417	2.3280	-4.3456	6.50	0.07	0.08
68 Tau	4.4249	17.9277	4.29	0.04	0.08
del Hya	8.6278	5.7038	4.17	0.00	0.02
HD 95370	11.0026	-42.2259	4.38	0.11	0.13
HD 9484	1.5510	-9.0147	5.59	-0.04	-0.04
HD 76757	8.9689	1.5416	6.59	0.05	0.08
60 Cet	2.0532	0.1285	5.42	0.14	0.13
kap Tau	4.4229	22.2936	4.23	0.12	0.15
34 Hya	9.6310	-9.4244	6.40	-0.04	-0.09
rho Hya	8.8072	5.8378	4.37	-0.05	-0.05
xi2 Cet	2.4693	8.4600	4.28	-0.06	-0.13
37 Cnc	8.6348	9.5746	6.52	-0.02	-0.04
HD 222095	23.6308	-45.4924	4.73	0.08	0.08
136 Tau	5.8888	27.6123	4.61	-0.02	0.01
HD 79108	9.2036	3.8700	6.14	0.00	0.00
tau2 Hya	9.5330	-1.1847	4.56	0.11	0.09
zet Ari	3.2484	21.0440	4.89	-0.02	-0.01
17 Sex	10.1688	-8.4082	5.90	0.02	-0.06
del Scl	23.8154	-28.1303	4.57	0.00	0.00
7 Sex	9.8700	2.4547	6.02	-0.04	-0.08
phi Gem	7.8916	26.7658	4.99	0.09	0.12
89 Psc	1.2966	3.6143	5.15	0.07	0.10
bet Crt	11.1943	-22.8258	4.48	0.03	0.07
alf Sex	10.1323	-0.3717	4.49	-0.04	-0.07
gam Cnc	8.7214	21.4685	4.66	0.02	0.01
2 Cet	0.0623	-17.3360	4.56	-0.04	-0.12
HD 90763	10.4789	-3.7424	6.04	0.04	0.05
ome2 Aqr	23.7120	-14.5449	4.51	-0.04	-0.13
25 Psc	23.8847	2.0906	6.28	0.00	-0.01
mu PsA	22.1397	-32.9885	4.50	0.05	0.05
HD 219402	23.2595	-3.4964	5.55	0.06	0.05
sig Aqr	22.5108	-10.6779	4.82	-0.06	-0.12
ups Psc	1.3245	27.2640	4.76	0.03	0.10
HD 217186	22.9785	7.3401	6.33	0.06	0.01
gam Tri	2.2886	33.8469	4.01	0.01	0.03
rho Peg	22.9205	8.8163	4.91	0.00	-0.01
HD 210419	22.1725	-3.8941	6.27	0.00	-0.07
