usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
YY PSC,000-BDC-724,2356-06,0,1,57.6189,-6,0,50.66,M3III,4.401,1.633,HR 9067,23,58,40.3775,-3,33,21.54,4.857,0.93,HR 9041,23,52,55.5654,-3,9,19.734,5.928,0.703
AD CET,000-BBB-335,0009-08,0,14,27.6282,-7,46,49.916,M3III,5.125,1.594,HR 16,0,8,17.5325,-8,49,26.804,5.985,1.035,HR 29,0,10,18.8698,-5,14,54.916,5.835,0.559
KHI PEG,000-BBB-338,0009+19,0,14,36.1645,20,12,24.126,M2III,4.796,1.573,HR 22,0,9,2.4247,18,12,43.067,5.532,1.038,HR 131,0,32,35.4859,20,17,39.539,5.367,0.535
T CET,000-BBB-510,0016-20,0,21,46.2737,-20,3,28.885,M5/M6Ib/II,5.334,1.806,SAO 166296,0,28,21.0961,-20,20,6.182,6.417,0.595,SAO 147205,0,17,32.7031,-19,3,3.93,6.445,1.211
TU CAS,000-BBB-663,0020+50,0,26,19.4474,51,16,49.301,F3II...,7.177,0.35,SAO 21418,0,27,52.1821,50,54,44.459,8.946,0.57,SAO 21537,0,35,13.7717,51,50,17.595,7.38,-0.22
AG CET,000-BBB-683,0022-12,0,28,0.5473,-11,39,31.689,M5III,7.25,1.42,SAO 147175,0,14,48.2095,-14,10,39.716,6.811,0.268,SAO 147237,0,22,51.7883,-12,12,33.977,6.389,1.152
TV PSC,000-BBB-684,0022+17,0,28,2.915,17,53,35.249,M3III,4.916,1.654,SAO 91912,0,28,12.7039,16,26,42.236,6.06,1.58,SAO 91909,0,27,58.4659,19,30,50.54,6.38,0.074
KAP CAS,000-BBB-806,0027+62,0,33,0.0,62,55,54,B1Ia,4.161,0.135,HD 6961,1,11,6.2,55,9,0,4.333,0.170,HD 5015,0,53,4.2,61,7,26,4.797,-0.035
ALF CAS,000-BBB-937,0034+55,0,40,30.4,56,32,14,K0IIICN+1,2.225,1.168,HD 5395,0,56,39.9,59,10,52,4.629,0.956,HD 9927,1,37,59.6,48,37,42,3.572,0.212
EG AND,000-BBC-010,0039+40,0,44,37.1869,40,40,45.707,M2III:e,7.2,1.675,SAO 54074,0,40,49.2696,40,11,13.824,7.364,0.94,SAO 54147,0,47,20.1413,39,1,46.734,7.53,0.735
NSV 293,000-BFQ-060,0041+14,0,46,32.9582,15,28,31.816,M4IIIa,5.341,1.616,HR 225,0,48,58.7083,16,56,26.318,5.076,0.504,HR 213,0,47,1.4585,11,58,25.857,5.5,1.112
NSV 305,000-BCY-640,0043+56,0,49,13.8704,57,4,30.074,M2III,7.07,1.77,HD 4029,0,43,26.4649,56,32,2.469,7.837,0.912,HD 5258,0,55,9.7739,57,16,34.106,7.461,0.858
BQ TUC,000-BCY-657,0049-63,0,53,37.874,-62,52,16.866,M4III,5.7,1.57,HR 186,0,42,41.9499,-60,15,46.107,5.977,1.32,HR 176,0,40,25.6699,-59,27,16.576,5.89,0.25
GAM CAS,000-BBC-215,0050+60,0,56,42.5317,60,43,0.265,B0IVpe,2.414,-0.141,SAO 11484,0,56,46.9733,60,21,46.21,5.55,-0.07,SAO 11444,0,53,4.1967,61,7,26.291,4.797,-0.071
WW PSC,000-BCY-665,0054+05,0,59,49.6866,6,28,59.611,M2III,6.108,1.671,HR 294,1,2,56.6084,7,53,24.488,4.271,0.961,HR 307,1,4,52.6374,5,39,22.542,6.404,0.71
CC TUC,000-BCY-683,0058-66,1,2,42.9067,-65,27,21.967,M2III,6.241,1.634,HR 270,0,55,0.3126,-69,31,37.503,5.447,1.095,HR 420,1,25,5.3067,-64,22,10.12,5.917,0.539
V442 AND,000-BCY-681,0058+47,1,3,53.3587,47,38,32.262,B2IVe,6.814,-0.036,HR 189,0,44,26.1917,47,51,50.342,5.649,-0.125,HR 289,1,3,1.5471,47,22,34.168,6.463,0.089
RU CAS,000-BBC-486,0105+64,1,11,41.4,65,1,8,B9IV,5.558,-0.091,HD 6960,1,11,25.6,64,12,10,5.551,-0.066,HD 5015,0,53,4.2,61,7,26,4.797,-0.025
NSV 15283,000-BBC-751,,1,20,4.9,58,13,54,F0Ia,4.990,0.681,HD 5015,0,53,4.2,61,7,26,4.797,0.540,HD 5395,0,56,39.9,59,10,52,4.629,0.141
RR ARI,000-BCT-813,0150+23,1,55,51,23,34,38,K0III,5.75,1.188,HD 13174,2,9,25.3,25,56,23,4.989,0.335,HD 13363,2,11,12.1,25,56,13,6.009,0.853
AR CET,000-BCV-438,0155-09,2,0,26.823,-8,31,25.943,M5III,5.498,1.516,HD 11964,1,57,9.6064,-10,14,32.739,6.416,0.82,HD 11131,1,49,23.3569,-10,42,12.816,6.75,0.696
NSV 15429,000-BCY-793,0157+13,2,2,35.0778,13,28,36.177,M2III,5.97,1.592,HR 624,2,9,23.1104,17,13,27.106,6.41,0.425,HR 609,2,3,42.6083,18,15,11.657,6.215,1.167
WZ PSC,000-BCY-797,0200+07,2,6,12.2632,8,14,53.211,M2III:,6.298,1.646,HR 635,2,11,21.0792,8,34,11.298,5.63,0.556,HD 15228,2,27,23.3891,10,11,53.975,6.495,1.09
V472 PER,000-BCW-796,0201+57,2,8,40.6,58,25,25,A1Ia,5.691,0.614,HD 18925,3,4,47.8,53,30,23,2.929,0.701,HD 13530,2,13,36.0,51,3,58,5.310,-0.087
AV ARI,000-BCT-839,0205+19,2,10,37.6,19,30,1,M3III,5.701,1.644,HR 609,2,3,42.6083,18,15,11.657,6.215,1.424,HR 646,2,12,48.0855,21,12,39.575,5.285,0.22
NSV 748,000-BCX-623,0207+14,2,13,3.3053,15,16,47.494,M0III,5.706,1.548,HR 624,2,9,23.1104,17,13,27.106,6.41,0.425,HR 609,2,3,42.6083,18,15,11.657,6.215,1.123
OMI CET,000-BBD-706,0214-03,2,19,20.7927,-2,58,39.513,M7,4.954,1.549,SAO 129798,2,16,59.0442,-6,25,19.618,5.506,0.962,SAO 129959,2,32,9.4209,-1,2,5.626,5.357,0.587
NSV 805,000-BBD-750,0216-00,2,21,56.6272,0,23,44.432,M2III,5.287,1.651,HR 672,2,18,1.4399,1,45,28.087,5.587,0.594,HR 739,2,32,9.4209,-1,2,5.626,5.351,1.057
V474 PER,000-BCW-797,0215+55,2,22,21.4,55,50,44,A2Ia,5.178,0.369,HD 18925,3,4,47.8,53,30,23,2.929,0.701,HD 13530,2,13,36.0,51,3,58,5.310,-0.332
ALF UMI,000-BBF-045,0122+88,2,31,49.08,89,15,50.79,F7:Ib-IIv,2.012,0.601,HD 5848,1,8,44.9,86,15,26,4.226,1.207,HD 26659,4,30,0.3,83,20,25,5.46,-0.606
15 TRI,000-BBF-143,0231+33C,2,35,46.8113,34,41,15.21,M3III,5.38,1.652,HR 738,2,32,52.6193,34,32,32.675,5.832,1.075,HR 736,2,32,6.1705,36,8,50.177,5.155,0.577
Z ERI,000-BBF-457,0243-12,2,47,55.9224,-12,27,38.337,M5III,6.815,1.586,SAO 148550,2,41,34.129,-14,32,57.393,5.973,0.423,SAO 148549,2,41,30.1727,-15,6,2.528,7.267,1.163
RR ERI,000-BBF-587,0247-08,2,52,14.1849,-8,16,1.445,M5III,6.93,1.64,SAO 148721,3,1,56.119,-9,57,41.064,5.823,1.104,SAO 130254,3,2,42.2748,-7,41,7.698,5.315,0.536
RZ ARI,000-BBF-613,0250+17,2,55,48.4978,18,19,53.903,M6III,5.815,1.452,SAO 93118,2,48,32.0893,18,17,1.646,5.847,1.13,SAO 93195,2,56,26.1549,18,1,23.228,5.616,0.322
EH CET,000-BCY-907,0251+04,2,57,4.5753,4,30,3.708,M4III,6.125,1.675,HR 908,3,1,52.3033,5,20,10.145,6.243,1.041,HR 926,3,4,38.0668,1,51,48.974,6.051,0.634
GAM PER,000-BBF-678,0257+53,3,4,47.8,53,30,23,G9III+A2-III,2.929,0.701,HD 17878,2,54,15.5,52,45,45,3.95,0.742,HD 19373,3,9,4,49,36,48,4.047,-0.041
RHO PER,000-BBF-683,0258+38,3,5,10.5934,38,50,24.986,M4II,3.391,1.646,SAO 56224,3,11,17.3816,39,36,41.697,4.608,1.115,SAO 56036,2,58,2.328,38,36,53.732,6.036,0.531
BET PER,000-BBF-713,0301+40,3,8,10.1315,40,57,20.332,B8V,2.121,0.001,SAO 38787,3,24,19.3703,49,51,40.247,1.795,0.481,SAO 38609,3,9,29.7715,44,51,27.157,3.803,-0.48
CE CAM,000-BBG-009,,3,29,54.7,58,52,44,A0Ia,4.544,0.56,HD 23089,3,46,2.3,63,20,42,4.80,0.800,HD 27022,4,20,40.3,65,8,26,5.273,-0.240
NSV 1273,000-BCY-977,0339+24C,3,45,34.447,24,27,48.32,A9V...,8.592,0.351,HD 23246,3,44,25.7185,24,23,41,8.167,0.268,HD 23948,3,49,56.5951,24,20,56.385,7.54,0.083
PI ERI,000-BCY-988,0341-12,3,46,8.5356,-12,6,5.722,M1III,4.422,1.627,HR 1235,3,59,30.1317,-12,34,27.929,5.6,1.48,HR 1265,4,4,22.7159,-12,47,32.263,5.621,0.147
NSV 1316,000-BBG-249,0342+24,3,48,6.5406,24,59,18.3,K5,6.45,1.701,SAO 76225,3,48,56.9411,23,51,25.687,6.47,0.42,SAO 76105,3,43,46.0195,26,22,52.047,7.28,1.281
BE CAM,000-BCT-952,0340+65,3,49,31.2819,65,31,33.501,M2.5II,4.45,1.88,HR 1129,3,46,2.3314,63,20,42.17,4.799,0.788,HR 1205,3,57,8.2886,61,6,31.978,4.99,1.092
X PER,000-BBG-453,0349+30,3,55,23.0773,31,2,45.014,O9.5pe,6.191,0.274,HD 25867,4,7,0.5,29,0,5,5.230,0.340,HD 23408,3,45,49.6,24,22,4,3.870,-0.066
B PER,000-BBG-774,NONE,4,18,14.62,50,17,43.8,A2V,4.598,0.054,SAO 24412,4,6,35.044,50,21,4.55,4.285,-0.013,SAO 24512,4,16,43.087,53,36,42.47,5.19,0.067
